window,batch,lr,hidden,dropout,r2,rmse,best_val_loss
30,128,0.0001,256,0.3,-0.004808664321899414,0.011026162213124024,7.279757119249552e-05
30,32,0.001,128,0.3,-0.00576329231262207,0.011031398777002365,6.281637615757063e-05
20,128,0.001,128,0.5,-0.005951523780822754,0.010906042689317833,8.59169231262058e-05
30,64,0.0005,64,0.3,-0.006101727485656738,0.01103325464523963,6.31090224487707e-05
20,128,0.0001,256,0.5,-0.007033586502075195,0.010911907021958553,8.509561303071678e-05
20,32,0.001,256,0.5,-0.007268548011779785,0.010913179517724508,8.61753651406616e-05
20,32,0.001,64,0.5,-0.00784289836883545,0.010916290956657857,8.557873661629856e-05
30,32,0.0001,128,0.5,-0.008282899856567383,0.011045207424460997,6.472541281254962e-05
40,128,0.001,64,0.5,-0.008298635482788086,0.011131543502301262,6.0995571402600035e-05
20,32,0.001,256,0.2,-0.01056051254272461,0.010930998207602545,8.571749640395865e-05
40,32,0.001,128,0.5,-0.010814666748046875,0.01114542326869634,6.106674845796078e-05
30,128,0.0005,128,0.2,-0.011265754699707031,0.01106153351262212,6.424250022973865e-05
40,32,0.0005,256,0.5,-0.011443495750427246,0.011148889205129828,6.116130680311471e-05
40,64,0.0005,256,0.3,-0.012254834175109863,0.011153360042220693,6.024293907103129e-05
30,64,0.0005,128,0.3,-0.013414502143859863,0.011073279016096916,6.324119021883234e-05
20,64,0.001,128,0.2,-0.013735771179199219,0.010948158224261264,8.653787517687306e-05
40,32,0.0001,256,0.5,-0.014168143272399902,0.01116389582886123,6.16092947893776e-05
20,32,0.0001,256,0.2,-0.014577388763427734,0.010952701698658241,8.526951569365337e-05
20,128,0.0001,256,0.3,-0.01651608943939209,0.010963161202154513,8.702326886123046e-05
30,32,0.001,128,0.2,-0.017537832260131836,0.011095783254463004,6.302640395006165e-05
30,128,0.0005,64,0.3,-0.018343329429626465,0.011100174537286393,6.419990677386522e-05
20,32,0.001,64,0.2,-0.018381237983703613,0.010973214230286141,8.404780237469822e-05
20,64,0.001,256,0.3,-0.019583702087402344,0.010979691129874767,8.610778604634106e-05
20,32,0.0005,256,0.2,-0.020302772521972656,0.01098356212128708,8.516812522429973e-05
40,128,0.0001,256,0.3,-0.022876858711242676,0.01121172623796401,6.120795296737924e-05
30,128,0.0005,256,0.5,-0.022976398468017578,0.01112539633616027,6.331925396807492e-05
30,128,0.0005,128,0.3,-0.023140430450439453,0.011126288350075232,6.40581565676257e-05
40,32,0.0001,128,0.5,-0.023141860961914062,0.011213178515538389,6.102121187723242e-05
20,64,0.0001,256,0.3,-0.02342212200164795,0.011000338865854784,8.569569763494655e-05
30,64,0.001,64,0.3,-0.023661494255065918,0.011129120870301892,6.44513638690114e-05
20,128,0.0001,64,0.3,-0.024246811866760254,0.01100477021784556,9.195316670229658e-05
20,64,0.0001,64,0.2,-0.024327754974365234,0.011005205255141808,8.446537685813382e-05
40,32,0.001,64,0.5,-0.024524211883544922,0.011220750932077035,6.171123823150992e-05
40,64,0.001,64,0.2,-0.024780750274658203,0.011222155360183369,5.932726344326511e-05
30,128,0.001,128,0.5,-0.024837493896484375,0.011135512315327362,6.319996464299038e-05
20,128,0.0005,64,0.2,-0.02516186237335205,0.011009685205002962,8.57288105180487e-05
30,128,0.0001,256,0.5,-0.025188803672790527,0.011137420736830831,6.935641431482509e-05
20,128,0.001,128,0.3,-0.02849292755126953,0.011027557443734968,8.619168511359021e-05
30,32,0.001,128,0.5,-0.02907538414001465,0.011158511809815592,6.349887553369626e-05
30,128,0.001,64,0.5,-0.030379295349121094,0.011165579146407947,6.454423419199884e-05
20,128,0.001,256,0.5,-0.03068399429321289,0.011039297903292705,8.594648534199223e-05
40,32,0.0005,64,0.3,-0.03132176399230957,0.011257912958154903,6.105063221184537e-05
40,32,0.001,256,0.5,-0.03214919567108154,0.011262428377441869,6.145438965177163e-05
30,64,0.001,256,0.5,-0.03237748146057129,0.011176400278904836,6.335834768833593e-05
30,64,0.0005,64,0.5,-0.03267931938171387,0.011178034196652259,6.311538891168311e-05
20,128,0.0005,128,0.2,-0.03390705585479736,0.011056544508918036,8.411507587879896e-05
30,32,0.0005,128,0.2,-0.03411245346069336,0.011185787818628983,6.336528895189986e-05
30,32,0.001,256,0.3,-0.034635186195373535,0.011188614380117451,6.358495738822967e-05
40,64,0.001,128,0.3,-0.03611719608306885,0.011284055701936038,6.15601529716514e-05
30,128,0.0001,64,0.3,-0.03677201271057129,0.011200162303504062,7.302201265702024e-05
30,128,0.0001,128,0.5,-0.03775811195373535,0.011205488000515908,6.29049027338624e-05
20,64,0.0005,256,0.3,-0.03802943229675293,0.0110785652243499,8.565243479097262e-05
40,128,0.0001,128,0.5,-0.038185834884643555,0.011295315382730578,6.341990956570953e-05
40,128,0.001,256,0.3,-0.038216471672058105,0.011295481574040079,6.162215140648186e-05
30,64,0.0005,128,0.2,-0.03890430927276611,0.0112116743210741,6.262293027248234e-05
40,64,0.0005,128,0.2,-0.04032182693481445,0.011306928718367306,6.142406346043572e-05
40,32,0.0001,256,0.2,-0.041118621826171875,0.011311257970703833,6.135879812063649e-05
20,32,0.0001,64,0.3,-0.04136383533477783,0.011096344554377224,8.705854270374402e-05
30,128,0.0005,128,0.5,-0.041863203048706055,0.011227628747882638,6.378013495123014e-05
20,128,0.0001,64,0.5,-0.04331517219543457,0.011106735933000426,8.260589675046504e-05
20,32,0.0005,128,0.2,-0.04378926753997803,0.011109259069031674,8.671834802953526e-05
20,128,0.0001,256,0.2,-0.04407012462615967,0.011110752898948766,8.736292511457577e-05
20,128,0.0005,128,0.3,-0.044262051582336426,0.011111774429372416,8.533833170076832e-05
20,128,0.0005,128,0.5,-0.044751644134521484,0.011114378906985002,8.564284507883713e-05
40,64,0.001,256,0.2,-0.04582023620605469,0.01133676941081335,6.178907642606646e-05
40,32,0.0001,64,0.2,-0.045975446701049805,0.011337610781589642,6.250773731153458e-05
20,64,0.0005,64,0.2,-0.046144723892211914,0.011121787004273109,8.64967514644377e-05
30,32,0.001,256,0.5,-0.046564459800720215,0.011252932136405937,6.302778638200834e-05
30,32,0.0001,64,0.3,-0.046715736389160156,0.01125374486222251,6.240602670004591e-05
20,32,0.001,128,0.3,-0.04686236381530762,0.011125601034825707,8.586196054238826e-05
20,32,0.0005,128,0.3,-0.046883225440979004,0.011125711557459525,8.582072769058868e-05
40,32,0.001,64,0.3,-0.04746127128601074,0.011345660653620098,6.160496559459716e-05
30,64,0.0001,256,0.3,-0.04782092571258545,0.011259684319421794,6.279904482653365e-05
20,32,0.0001,256,0.3,-0.05038785934448242,0.011144318642152665,8.513432840118185e-05
20,128,0.001,64,0.3,-0.05127251148223877,0.011149010591280865,8.517579408362508e-05
40,32,0.0005,64,0.5,-0.05266726016998291,0.01137382040565607,6.141718768049031e-05
20,128,0.0001,128,0.2,-0.0536731481552124,0.011161733146018921,8.591856749262661e-05
40,128,0.0001,64,0.3,-0.053748130798339844,0.011379657549786272,6.247792771318927e-05
30,32,0.001,64,0.5,-0.055063843727111816,0.01129853313328022,6.279869558056816e-05
20,128,0.0001,64,0.2,-0.055216073989868164,0.011169901952669066,8.616756531409919e-05
40,64,0.0001,128,0.3,-0.05531930923461914,0.011388138999217041,6.164417573018e-05
30,128,0.001,64,0.2,-0.05687534809112549,0.011308228504544849,6.319735257420689e-05
30,64,0.001,256,0.2,-0.05783557891845703,0.011313364415689255,6.441707228077576e-05
20,32,0.0005,256,0.3,-0.05912065505981445,0.01119054885583256,8.721861377125606e-05
30,64,0.001,256,0.3,-0.059566617012023926,0.011322617193832254,6.356649100780487e-05
20,64,0.0005,256,0.5,-0.05966019630432129,0.011193398915929718,8.654989505885169e-05
20,64,0.0001,128,0.3,-0.06324625015258789,0.01121232326491975,8.645847265142947e-05
40,32,0.001,256,0.3,-0.06339478492736816,0.011431627479423787,6.147297244751826e-05
20,64,0.0001,128,0.5,-0.06363463401794434,0.01121437108542077,8.763174992054701e-05
40,128,0.0001,64,0.2,-0.06454968452453613,0.011437833346291565,6.226918048923835e-05
30,32,0.0005,128,0.3,-0.06456935405731201,0.011349315467635259,6.254850450204685e-05
30,64,0.0001,64,0.3,-0.06466960906982422,0.01134985012593582,6.481380842160434e-05
20,128,0.001,256,0.3,-0.06505632400512695,0.01122186294758247,8.572209480917081e-05
40,32,0.0005,128,0.2,-0.06574702262878418,0.011444264092737836,6.121358455857262e-05
20,128,0.0001,128,0.3,-0.06584823131561279,0.011226033807044393,8.701884507900104e-05
40,128,0.001,256,0.5,-0.06736171245574951,0.011452929581049005,6.151329580461606e-05
20,64,0.001,256,0.5,-0.06858551502227783,0.011240440326580314,8.703515777597204e-05
40,128,0.0005,256,0.3,-0.07435333728790283,0.011490379185350076,6.0779504565289244e-05
20,64,0.001,128,0.5,-0.07619905471801758,0.01128041263940598,8.472179615637287e-05
30,128,0.0001,256,0.2,-0.07791507244110107,0.011420232697157298,6.296311767073348e-05
40,32,0.0001,128,0.3,-0.08101904392242432,0.011525970015017248,6.178560579428449e-05
30,128,0.001,256,0.3,-0.08131802082061768,0.011438244915488218,6.301997200353071e-05
20,32,0.0001,128,0.2,-0.08156585693359375,0.011308503885603893,8.562360744690523e-05
30,64,0.0001,128,0.2,-0.08381867408752441,0.011451463867996768,6.320214743027464e-05
40,64,0.0001,128,0.5,-0.08591306209564209,0.01155203016320291,6.138990283943713e-05
20,128,0.001,256,0.2,-0.08666050434112549,0.011335106380691651,8.72829623403959e-05
30,32,0.0005,64,0.3,-0.08801960945129395,0.011473635368402079,6.339632818708196e-05
40,128,0.001,128,0.5,-0.08811473846435547,0.011563735521158643,6.137038144515827e-05
20,64,0.0001,128,0.2,-0.08901560306549072,0.01134738369243421,8.698797319084406e-05
30,64,0.0001,64,0.2,-0.08977401256561279,0.011482882560855464,6.312807090580463e-05
30,32,0.0005,64,0.5,-0.0904686450958252,0.01148654122078715,6.338150706142187e-05
30,128,0.0001,128,0.2,-0.09072959423065186,0.011487915055438593,6.888524512760341e-05
40,32,0.0005,128,0.5,-0.09193098545074463,0.011583995784153495,6.123425555415452e-05
30,32,0.0001,64,0.5,-0.09276390075683594,0.011498623940236315,6.341643165796995e-05
30,128,0.0001,64,0.2,-0.09288084506988525,0.011499238973974656,6.487384234787896e-05
30,128,0.001,256,0.5,-0.0953596830368042,0.011512272864441217,6.332436896627769e-05
20,32,0.0001,128,0.3,-0.09722554683685303,0.011390075999415479,8.692009578226134e-05
20,32,0.0005,256,0.5,-0.0973360538482666,0.01139065026432867,8.683170017320663e-05
30,32,0.0005,256,0.2,-0.10101211071014404,0.011541938200200708,6.266465061344206e-05
30,128,0.001,128,0.3,-0.10196256637573242,0.011546919121709572,6.267947173910215e-05
40,128,0.001,64,0.2,-0.1046370267868042,0.011651198328371009,6.148372631287202e-05
30,64,0.001,64,0.2,-0.1055457592010498,0.011565676455001915,6.296358333202079e-05
30,32,0.0001,64,0.2,-0.11075770854949951,0.011592907040950607,6.268348806770518e-05
30,64,0.001,128,0.5,-0.11076498031616211,0.011592945325798404,6.24769672867842e-05
20,128,0.001,64,0.5,-0.11134064197540283,0.011463104984169284,9.50208559515886e-05
40,64,0.0005,256,0.2,-0.11622953414916992,0.011712174880694759,5.879606760572642e-05
30,128,0.001,256,0.2,-0.11714661121368408,0.01162619974458049,6.326915899990126e-05
30,128,0.001,64,0.3,-0.119437575340271,0.01163811433962364,6.517795554827899e-05
30,32,0.001,256,0.2,-0.12683868408203125,0.011676523504086165,6.370202754624188e-05
30,64,0.001,128,0.3,-0.1276611089706421,0.011680784292577422,6.311237666523084e-05
20,32,0.0001,64,0.5,-0.12813878059387207,0.011549413501805677,8.814713510219008e-05
30,32,0.0001,128,0.2,-0.1324295997619629,0.011705454968718547,6.306990690063685e-05
40,128,0.0005,128,0.2,-0.13560271263122559,0.011813375285274937,6.110177491791546e-05
40,128,0.0005,64,0.2,-0.13906121253967285,0.011831351062779553,6.117111479397863e-05
20,64,0.001,64,0.3,-0.14342057704925537,0.011627374983102692,8.819433423923329e-05
40,64,0.0001,64,0.2,-0.1451740264892578,0.011863054705203614,6.0400656366255134e-05
40,64,0.0005,64,0.5,-0.14581942558288574,0.01186639749159632,6.239490903681144e-05
30,32,0.0001,256,0.3,-0.14678549766540527,0.011779416404644862,6.718324584653601e-05
40,64,0.0001,256,0.2,-0.15033113956451416,0.011889736412161516,6.382411811500788e-05
40,64,0.001,128,0.5,-0.15221679210662842,0.01189947777008265,6.193178705871105e-05
20,64,0.0005,256,0.2,-0.15350735187530518,0.011678547868380452,8.828097634250298e-05
20,64,0.001,64,0.2,-0.15875566005706787,0.011705085740269145,8.579889254178852e-05
20,128,0.0005,64,0.5,-0.15899419784545898,0.011706290351719653,8.835944754537195e-05
20,64,0.0001,64,0.3,-0.1679462194442749,0.011751413149432097,8.657699072500691e-05
40,32,0.001,64,0.2,-0.16944241523742676,0.011988095691516718,6.156535528134555e-05
40,64,0.0001,64,0.3,-0.1718536615371704,0.012000448281575022,6.86679850332439e-05
40,64,0.001,64,0.3,-0.17207825183868408,0.012001598997377823,6.11116920481436e-05
40,32,0.0001,128,0.2,-0.1732088327407837,0.012007385461812474,6.0480524552986026e-05
40,32,0.0001,256,0.3,-0.17609262466430664,0.012022133877644902,6.0208680224604905e-05
40,32,0.0001,64,0.5,-0.17764997482299805,0.012030091012170303,6.111685797804967e-05
40,128,0.0001,256,0.2,-0.17770707607269287,0.012030382528591548,6.21906146989204e-05
40,128,0.0005,256,0.5,-0.18028604984283447,0.012043547836825933,6.443644087994471e-05
30,128,0.001,128,0.2,-0.18176090717315674,0.011957695377858672,6.274377665249631e-05
40,128,0.0005,64,0.3,-0.18694698810577393,0.012077483961212315,6.195147580001503e-05
20,128,0.0005,64,0.3,-0.18733835220336914,0.011848569453040246,0.00010703162115532905
40,64,0.0001,128,0.2,-0.18752717971801758,0.012080434953512414,6.073770782677457e-05
40,128,0.0005,128,0.3,-0.1876082420349121,0.012080847516957404,6.41635269857943e-05
40,128,0.0005,64,0.5,-0.1917644739151001,0.012101968203584753,6.132007547421381e-05
20,64,0.0005,64,0.5,-0.19315707683563232,0.011877567010276154,8.517475362168625e-05
20,64,0.0005,64,0.3,-0.1970064640045166,0.011896711240346974,8.6623003880959e-05
20,32,0.0005,64,0.3,-0.19813859462738037,0.011902335964187188,8.849230653140694e-05
40,32,0.001,256,0.2,-0.20351600646972656,0.01216148821368791,6.201465293997899e-05
30,32,0.0005,64,0.2,-0.20561420917510986,0.012077773128878118,6.25976244919002e-05
40,128,0.0001,128,0.2,-0.20837879180908203,0.012186032950651056,6.0862686950713396e-05
40,128,0.001,64,0.3,-0.2158581018447876,0.012223687728992532,6.385504093486816e-05
30,128,0.0005,256,0.3,-0.21988892555236816,0.012149064596548378,6.34497991995886e-05
30,32,0.001,64,0.2,-0.2236860990524292,0.012167958071866256,6.214586755959317e-05
40,64,0.0001,64,0.5,-0.22568941116333008,0.012273007555516201,6.119308818597347e-05
40,128,0.001,128,0.3,-0.22886276245117188,0.012288885457431769,6.204624514793977e-05
30,32,0.0001,256,0.5,-0.23017120361328125,0.012200158687969562,6.345260771922767e-05
40,64,0.0005,128,0.3,-0.23781251907348633,0.012333553992696233,6.0835769545519724e-05
