window,batch,lr,hidden,dropout,r2,rmse,accuracy
20,32,0.0001,128,0.3,-0.021756768226623535,0.010991385408522453,48.35164835164835
40,64,0.001,128,0.2,-0.022578001022338867,0.011210087495158056,48.76543209876543
40,128,0.0005,256,0.5,-0.023972272872924805,0.011217727508319723,48.148148148148145
40,64,0.0005,128,0.5,-0.02402651309967041,0.011218024568884113,48.76543209876543
40,64,0.0001,256,0.5,-0.0241013765335083,0.011218435122173999,48.148148148148145
40,128,0.001,128,0.5,-0.024563193321228027,0.01122096361761781,50.617283950617285
20,32,0.0005,256,0.5,-0.024570226669311523,0.011006507950151963,43.956043956043956
30,128,0.001,64,0.3,-0.02476370334625244,0.011135111119735497,50.58139534883721
20,64,0.0005,128,0.5,-0.026355981826782227,0.011016095418557536,43.40659340659341
30,32,0.0005,64,0.5,-0.027334928512573242,0.011149071936467374,47.674418604651166
30,32,0.0001,64,0.2,-0.02738344669342041,0.011149334933813829,45.348837209302324
20,64,0.0001,256,0.2,-0.027714014053344727,0.011023380792814614,46.15384615384615
30,32,0.001,64,0.5,-0.02892446517944336,0.011157694103536703,52.906976744186046
40,128,0.001,128,0.3,-0.029062986373901367,0.011245578081646624,47.53086419753087
30,32,0.0001,128,0.2,-0.029742121696472168,0.011162126214472767,41.86046511627907
20,128,0.0005,128,0.3,-0.030067086219787598,0.011035993360210168,43.956043956043956
30,32,0.0005,128,0.5,-0.03098928928375244,0.011168883132919919,45.348837209302324
30,64,0.0005,256,0.2,-0.03191554546356201,0.011173900117677228,46.51162790697674
30,64,0.0005,256,0.5,-0.0330127477645874,0.011179838389285435,50.58139534883721
30,128,0.001,128,0.2,-0.03603160381317139,0.011196162469109119,48.25581395348837
30,32,0.0001,64,0.5,-0.03612649440765381,0.011196674548449085,47.674418604651166
20,128,0.0001,128,0.3,-0.03700613975524902,0.011073102919012858,46.7032967032967
20,32,0.001,256,0.2,-0.03859686851501465,0.01108159247398034,46.15384615384615
20,32,0.001,64,0.5,-0.03897273540496826,0.011083597489465465,47.8021978021978
